代號,名稱,價格,漲跌,漲跌幅,周漲跌,振幅,開盤,最高,最低,昨收,成交量,成交值(億)
6415,矽力-KY,2520,▼-10.00,-0.40%,-9.68%,3.95%,2475,2550,2450,2530,509,12.827
5274,信驊,2440,▲10.00,+0.41%,-10.79%,5.76%,2390,2470,2330,2430,564,13.762
3008,大立光,1600,▼-15.00,-0.93%,-2.74%,2.48%,1610,1635,1595,1615,536,8.576
4966,譜瑞-KY,1420,▼-35.00,-2.41%,-2.74%,3.78%,1420,1445,1390,1455,590,8.378
5269,祥碩,1355,▼-20.00,-1.45%,-2.87%,5.09%,1345,1365,1295,1375,"1,159",15.704
3529,力旺,1265,▲45.00,+3.69%,-4.89%,13.11%,1180,1330,1170,1220,"1,559",19.721
6409,旭隼,1205,▼-115.00,-8.71%,-8.02%,7.58%,1300,1300,1200,1320,177,2.133
6781,AES-KY,996,▼-14.00,-1.39%,3.00%,5.94%,985,1035,975,1010,"1,905",18.974
3661,世芯-KY,938,▲16.00,+1.74%,-0.74%,6.94%,915,976,912,922,"6,634",62.227
6669,緯穎,923,▲1.00,+0.11%,-10.39%,3.58%,921,938,905,922,597,5.510
2454,聯發科,820,▼-9.00,-1.09%,-2.50%,1.81%,828,835,820,829,"4,081",33.464
1590,亞德客-KY,805,▼-22.00,-2.66%,-5.07%,2.06%,815,820,803,827,554,4.460
3533,嘉澤,740,▼-11.00,-1.46%,-2.37%,2.66%,742,752,732,751,641,4.743
3293,鈊象,710,▼-8.00,-1.11%,-3.40%,1.95%,720,720,706,718,301,2.137
8454,富邦媒,708,▼-22.00,-3.01%,-10.15%,2.60%,722,727,708,730,360,2.549
2207,和泰車,552,▼-15.00,-2.65%,-5.48%,3.35%,565,570,551,567,226,1.248
6488,環球晶,514,▼-19.00,-3.56%,-9.67%,3.00%,530,530,514,533,"2,511",12.907
2330,台積電,505,▼-16.00,-3.07%,-6.83%,2.50%,516,518,505,521,"32,057",161.888
3443,創意,505,▲6.00,+1.20%,3.48%,7.82%,491,530,491,499,"9,271",46.819
1476,儒鴻,500,▼-5.00,-0.99%,1.32%,3.86%,500,515,495.5,505,"1,891",9.455
6763,綠界科技,499.5,▼-3.50,-0.70%,-11.28%,2.09%,503,510,499.5,503,56,0.280
3592,瑞鼎,489,▼-7.00,-1.41%,-0.91%,2.02%,488.5,498,488,496,416,2.034
